chapter,prior,learns,guesses,slips
3.1.4,0.6608775193201851,0.05343393777708531,0.22296942504496406,0.2113964492110891
2.1.3,0.2475547162234703,8.192536374150838e-05,0.5430784475467115,0.0815812857026137
2.1.2,0.5642351260952801,0.9999999991985857,0.032254767252451216,0.27376250208498953
3.1.3,0.3788488063164844,2.292283524853412e-05,0.38543457158965094,0.1696374351874034
3.1.2,0.5562320852918765,1.6302064745748085e-12,0.3900456139515469,0.19943071140158947
3.1.1,0.44704894333102424,0.00031390533944590857,0.3625983690470716,0.23383129340237155
4.1.4,0.41154553746103684,0.00012467317018762368,0.3672329320068994,0.23756731297785857
4.1.1,0.5077378067696868,5.506041872973172e-08,0.350048132531508,0.2054481937202066
4.1.2,0.6086272663221797,0.0001461043425812666,0.35223272090598373,0.28132587717295243
4.1.3,0.6693349030465332,0.000594807689061315,0.14946614043540027,0.34354890992815623
