chapter,prior,learns,guesses,slips
3.2,0.41177919058531115,0.0028491216557183477,0.39228151587264004,0.21605169634219296
3.3,0.517793395318384,0.003428363581813499,0.36869903780627483,0.22928052953053324
1.1,0.28410470262769544,0.02574251602341787,0.45864788844914056,0.19622885265565224
1.3,0.4875234855826741,0.0533908254319155,0.0,1.0
3.1,0.4393404780293164,0.0014665658151368738,0.40603131886056787,0.20383009801658025
1.2,0.5954930346050518,0.0006702104043977421,0.49528684488648905,0.22605554436103495
3.4,0.573636489272936,0.0006390086131376097,0.40700373008879204,0.21303723290589435
3.5,0.4728613846648938,0.13345159853132132,0.2697090960459218,0.13023871085660976
3.6,0.39072573813337075,0.006665248499478635,0.33966039324202224,0.1715400662283521
2.1,0.4596941550834756,9.191838211107181e-05,0.5459072069954288,0.1717996202270383
2.2,0.595339747259996,0.0023413676321582064,0.39415542468467757,0.25917837321195997
2.3,0.5826502385474615,0.0045056199087265365,0.3870390739396015,0.2582013218778066
4.1,0.6077490911180239,3.228855115088331e-05,0.30710273690321055,0.28164728216537294
4.2,0.4484780657329153,0.01651607625986978,0.32441867800997604,0.242143607166454
4.3,0.34741495355726526,0.009657543074132574,0.3816234655248202,0.1756077000313544
